Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
,,,,,,,,,,,,,,,,,,,,,,,,,(20g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(220°c).,1
,,,,,,,,,,,,,,,,,,,,,,,,,(226g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(240g)alories,1
,,,,,,,,,,,,,,,,,,,,,,,,,(240ml),1
,,,,,,,,,,,,,,,,,,,,,,,,,(250ml),1
,,,,,,,,,,,,,,,,,,,,,,,,,(25g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(283g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(28g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(29-32,1
,,,,,,,,,,,,,,,,,,,,,,,,,(3-4,1
,,,,,,,,,,,,,,,,,,,,,,,,,(3-4oz),1
,,,,,,,,,,,,,,,,,,,,,,,,,(30-sec,1
,,,,,,,,,,,,,,,,,,,,,,,,,(31-32,1
,,,,,,,,,,,,,,,,,,,,,,,,,(313g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(315g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(32,1
,,,,,,,,,,,,,,,,,,,,,,,,,"(340-454g),",1
,,,,,,,,,,,,,,,,,,,,,,,,,(350,1
,,,,,,,,,,,,,,,,,,,,,,,,,(40g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(50g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(56g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(5g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(6-8,1
,,,,,,,,,,,,,,,,,,,,,,,,,(65g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(67g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(6g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(7g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(7oz),1
,,,,,,,,,,,,,,,,,,,,,,,,,(8-10mins),1
,,,,,,,,,,,,,,,,,,,,,,,,,(8-ounce),1
,,,,,,,,,,,,,,,,,,,,,,,,,(90g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(add,1
,,,,,,,,,,,,,,,,,,,,,,,,,(approx,1
,,,,,,,,,,,,,,,,,,,,,,,,,(approx.,1
,,,,,,,,,,,,,,,,,,,,,,,,,(avoid,1
,,,,,,,,,,,,,,,,,,,,,,,,,(baking,1
,,,,,,,,,,,,,,,,,,,,,,,,,(boiled),1
,,,,,,,,,,,,,,,,,,,,,,,,,(but,1
,,,,,,,,,,,,,,,,,,,,,,,,,(chopped),1
,,,,,,,,,,,,,,,,,,,,,,,,,"(cooked,",1
,,,,,,,,,,,,,,,,,,,,,,,,,(creamy,1
,,,,,,,,,,,,,,,,,,,,,,,,,(depending,1
,,,,,,,,,,,,,,,,,,,,,,,,,(divided,1
,,,,,,,,,,,,,,,,,,,,,,,,,(do,1
,,,,,,,,,,,,,,,,,,,,,,,,,(don’t,1
,,,,,,,,,,,,,,,,,,,,,,,,,(flip,1
,,,,,,,,,,,,,,,,,,,,,,,,,(flour,1
,,,,,,,,,,,,,,,,,,,,,,,,,(forgot,1
,,,,,,,,,,,,,,,,,,,,,,,,,(found,1
,,,,,,,,,,,,,,,,,,,,,,,,,(ft.파김치&겉절이),1
,,,,,,,,,,,,,,,,,,,,,,,,,(green,1
,,,,,,,,,,,,,,,,,,,,,,,,,(heat,1
,,,,,,,,,,,,,,,,,,,,,,,,,(just,1
,,,,,,,,,,,,,,,,,,,,,,,,,(king,1
,,,,,,,,,,,,,,,,,,,,,,,,,(let,1
,,,,,,,,,,,,,,,,,,,,,,,,,(linked,1
,,,,,,,,,,,,,,,,,,,,,,,,,(lol),1
,,,,,,,,,,,,,,,,,,,,,,,,,(low,1
,,,,,,,,,,,,,,,,,,,,,,,,,(m),1
,,,,,,,,,,,,,,,,,,,,,,,,,(masak,1
,,,,,,,,,,,,,,,,,,,,,,,,,(medium,1
,,,,,,,,,,,,,,,,,,,,,,,,,(milk,1
,,,,,,,,,,,,,,,,,,,,,,,,,(more,1
,,,,,,,,,,,,,,,,,,,,,,,,,(natural,1
,,,,,,,,,,,,,,,,,,,,,,,,,(new,1
,,,,,,,,,,,,,,,,,,,,,,,,,(not,1
,,,,,,,,,,,,,,,,,,,,,,,,,(note:,1
,,,,,,,,,,,,,,,,,,,,,,,,,(nouveaux,1
,,,,,,,,,,,,,,,,,,,,,,,,,(optional).,1
,,,,,,,,,,,,,,,,,,,,,,,,,(optional). ,1
,,,,,,,,,,,,,,,,,,,,,,,,,(optional-avoid,1
,,,,,,,,,,,,,,,,,,,,,,,,,(peeled,1
,,,,,,,,,,,,,,,,,,,,,,,,,(pls,1
,,,,,,,,,,,,,,,,,,,,,,,,,(preferably,1
,,,,,,,,,,,,,,,,,,,,,,,,,(ramadan,1
,,,,,,,,,,,,,,,,,,,,,,,,,(recipe,1
,,,,,,,,,,,,,,,,,,,,,,,,,"(ribeye,",1
,,,,,,,,,,,,,,,,,,,,,,,,,(roughly,1
,,,,,,,,,,,,,,,,,,,,,,,,,(roughly),1
,,,,,,,,,,,,,,,,,,,,,,,,,"(salt,",1
,,,,,,,,,,,,,,,,,,,,,,,,,(sans,1
,,,,,,,,,,,,,,,,,,,,,,,,,(save,1
,,,,,,,,,,,,,,,,,,,,,,,,,(scrape,1
,,,,,,,,,,,,,,,,,,,,,,,,,(separate,1
,,,,,,,,,,,,,,,,,,,,,,,,,(shes,1
,,,,,,,,,,,,,,,,,,,,,,,,,(shredded,1
,,,,,,,,,,,,,,,,,,,,,,,,,(sliced,1
,,,,,,,,,,,,,,,,,,,,,,,,,(stems,1
,,,,,,,,,,,,,,,,,,,,,,,,,(still,1
,,,,,,,,,,,,,,,,,,,,,,,,,(taco,1
,,,,,,,,,,,,,,,,,,,,,,,,,(taste,1
,,,,,,,,,,,,,,,,,,,,,,,,,(thelowcarb_kitchen).,1
,,,,,,,,,,,,,,,,,,,,,,,,,(there's,1
,,,,,,,,,,,,,,,,,,,,,,,,,(think,1
,,,,,,,,,,,,,,,,,,,,,,,,,(tip:,1
,,,,,,,,,,,,,,,,,,,,,,,,,(to,1
,,,,,,,,,,,,,,,,,,,,,,,,,(tostones/patacones),1
,,,,,,,,,,,,,,,,,,,,,,,,,(try,1
,,,,,,,,,,,,,,,,,,,,,,,,,(use,1
,,,,,,,,,,,,,,,,,,,,,,,,,(venezuelan-style,1
,,,,,,,,,,,,,,,,,,,,,,,,,(washed),1
,,,,,,,,,,,,,,,,,,,,,,,,,(which,1
,,,,,,,,,,,,,,,,,,,,,,,,,(whisked),1
,,,,,,,,,,,,,,,,,,,,,,,,,(with,1
,,,,,,,,,,,,,,,,,,,,,,,,,(¼,1
,,,,,,,,,,,,,,,,,,,,,,,,,(اختياري),1
,,,,,,,,,,,,,,,,,,,,,,,,,(او,1
,,,,,,,,,,,,,,,,,,,,,,,,,(تكفي,1
,,,,,,,,,,,,,,,,,,,,,,,,,(“flash,1
,,,,,,,,,,,,,,,,,,,,,,,,,****,1
,,,,,,,,,,,,,,,,,,,,,,,,,**can,1
,,,,,,,,,,,,,,,,,,,,,,,,,*all-purpose,1
,,,,,,,,,,,,,,,,,,,,,,,,,*mix,1
,,,,,,,,,,,,,,,,,,,,,,,,,*note:,1
,,,,,,,,,,,,,,,,,,,,,,,,,*recipe,1
,,,,,,,,,,,,,,,,,,,,,,,,,+1/2,1
,,,,,,,,,,,,,,,,,,,,,,,,,-1-2,1
,,,,,,,,,,,,,,,,,,,,,,,,,-1x,1
,,,,,,,,,,,,,,,,,,,,,,,,,-1½,1
,,,,,,,,,,,,,,,,,,,,,,,,,-200g,1
,,,,,,,,,,,,,,,,,,,,,,,,,-3,1
,,,,,,,,,,,,,,,,,,,,,,,,,-35%,1
,,,,,,,,,,,,,,,,,,,,,,,,,-350g,1
,,,,,,,,,,,,,,,,,,,,,,,,,-40g,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5%,1
,,,,,,,,,,,,,,,,,,,,,,,,,-500g,1
,,,,,,,,,,,,,,,,,,,,,,,,,-50g,1
,,,,,,,,,,,,,,,,,,,,,,,,,-50ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,-8,1
,,,,,,,,,,,,,,,,,,,,,,,,,-bake,1
,,,,,,,,,,,,,,,,,,,,,,,,,-broccoli/broccolini,1
,,,,,,,,,,,,,,,,,,,,,,,,,-brush,1
,,,,,,,,,,,,,,,,,,,,,,,,,-canada,1
,,,,,,,,,,,,,,,,,,,,,,,,,-caramel,1
,,,,,,,,,,,,,,,,,,,,,,,,,-choclo,1
,,,,,,,,,,,,,,,,,,,,,,,,,-combine,1
,,,,,,,,,,,,,,,,,,,,,,,,,-continue,1
,,,,,,,,,,,,,,,,,,,,,,,,,-cut,1
,,,,,,,,,,,,,,,,,,,,,,,,,-fresh,1
,,,,,,,,,,,,,,,,,,,,,,,,,-gingerbread,1
,,,,,,,,,,,,,,,,,,,,,,,,,-in,1
,,,,,,,,,,,,,,,,,,,,,,,,,-insert,1
,,,,,,,,,,,,,,,,,,,,,,,,,-jugo,1
,,,,,,,,,,,,,,,,,,,,,,,,,-lay,1
,,,,,,,,,,,,,,,,,,,,,,,,,-lechuga,1
,,,,,,,,,,,,,,,,,,,,,,,,,-make,1
,,,,,,,,,,,,,,,,,,,,,,,,,-minced,1
,,,,,,,,,,,,,,,,,,,,,,,,,-nutella,1
,,,,,,,,,,,,,,,,,,,,,,,,,-olive,1
,,,,,,,,,,,,,,,,,,,,,,,,,-once,1
,,,,,,,,,,,,,,,,,,,,,,,,,-pizca,1
,,,,,,,,,,,,,,,,,,,,,,,,,-place,1
,,,,,,,,,,,,,,,,,,,,,,,,,-plain,1
,,,,,,,,,,,,,,,,,,,,,,,,,-press,1
,,,,,,,,,,,,,,,,,,,,,,,,,-repollo,1
,,,,,,,,,,,,,,,,,,,,,,,,,-salt,1
,,,,,,,,,,,,,,,,,,,,,,,,,-salt/pepper,1
,,,,,,,,,,,,,,,,,,,,,,,,,-simmer,1
,,,,,,,,,,,,,,,,,,,,,,,,,-stir,1
,,,,,,,,,,,,,,,,,,,,,,,,,-to,1
,,,,,,,,,,,,,,,,,,,,,,,,,-vanilla,1
,,,,,,,,,,,,,,,,,,,,,,,,,-whisk,1
,,,,,,,,,,,,,,,,,,,,,,,,,-¾,1
,,,,,,,,,,,,,,,,,,,,,,,,,-колбаса,1
,,,,,,,,,,,,,,,,,,,,,,,,,-помидор,1
,,,,,,,,,,,,,,,,,,,,,,,,,-приготовление,1
,,,,,,,,,,,,,,,,,,,,,,,,,-сыр,1
,,,,,,,,,,,,,,,,,,,,,,,,,-тортилья,1
,,,,,,,,,,,,,,,,,,,,,,,,,-яйцо,1
,,,,,,,,,,,,,,,,,,,,,,,,,-بابريكا,1
,,,,,,,,,,,,,,,,,,,,,,,,,-ثوم,1
,,,,,,,,,,,,,,,,,,,,,,,,,-زيت,1
,,,,,,,,,,,,,,,,,,,,,,,,,-يغورت,1
,,,,,,,,,,,,,,,,,,,,,,,,,- add,1
,,,,,,,,,,,,,,,,,,,,,,,,,- cover,1
,,,,,,,,,,,,,,,,,,,,,,,,,- cut,1
,,,,,,,,,,,,,,,,,,,,,,,,,- in,1
,,,,,,,,,,,,,,,,,,,,,,,,,- mangoes,1
,,,,,,,,,,,,,,,,,,,,,,,,,- pour,1
,,,,,,,,,,,,,,,,,,,,,,,,,- the,1
,,,,,,,,,,,,,,,,,,,,,,,,,-⅓,1
,,,,,,,,,,,,,,,,,,,,,,,,,..,1
,,,,,,,,,,,,,,,,,,,,,,,,,.add,1
,,,,,,,,,,,,,,,,,,,,,,,,,.grill,1
,,,,,,,,,,,,,,,,,,,,,,,,,/butter,1
,,,,,,,,,,,,,,,,,,,,,,,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,1),1
,,,,,,,,,,,,,,,,,,,,,,,,,"1,",1
,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",1
,,,,,,,,,,,,,,,,,,,,,,,,,1-,1
,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2-quart,1
,,,,,,,,,,,,,,,,,,,,,,,,,1-2tbsp,1
,,,,,,,,,,,,,,,,,,,,,,,,,1-3,1
,,,,,,,,,,,,,,,,,,,,,,,,,1.),1
,,,,,,,,,,,,,,,,,,,,,,,,,1.5-2,1
,,,,,,,,,,,,,,,,,,,,,,,,,1.5cm).,1
,,,,,,,,,,,,,,,,,,,,,,,,,1/2-inch,1
,,,,,,,,,,,,,,,,,,,,,,,,,1/34,1
,,,,,,,,,,,,,,,,,,,,,,,,,1/4-ounce,1
,,,,,,,,,,,,,,,,,,,,,,,,,"10,",1
,,,,,,,,,,,,,,,,,,,,,,,,,10-,1
,,,,,,,,,,,,,,,,,,,,,,,,,10/10.,1
,,,,,,,,,,,,,,,,,,,,,,,,,100!,1
,,,,,,,,,,,,,,,,,,,,,,,,,100/100:,1
,,,,,,,,,,,,,,,,,,,,,,,,,100gr,1
,,,,,,,,,,,,,,,,,,,,,,,,,10g,1
,,,,,,,,,,,,,,,,,,,,,,,,,11-,1
,,,,,,,,,,,,,,,,,,,,,,,,,110,1
,,,,,,,,,,,,,,,,,,,,,,,,,110f.,1
,,,,,,,,,,,,,,,,,,,,,,,,,115,1
,,,,,,,,,,,,,,,,,,,,,,,,,12-,1
,,,,,,,,,,,,,,,,,,,,,,,,,12-14,1
,,,,,,,,,,,,,,,,,,,,,,,,,12-15,1
,,,,,,,,,,,,,,,,,,,,,,,,,125g,1
,,,,,,,,,,,,,,,,,,,,,,,,,12g,1
,,,,,,,,,,,,,,,,,,,,,,,,,13,1
,,,,,,,,,,,,,,,,,,,,,,,,,13-,1
,,,,,,,,,,,,,,,,,,,,,,,,,13-15,1
,,,,,,,,,,,,,,,,,,,,,,,,,13-16,1
,,,,,,,,,,,,,,,,,,,,,,,,,14,1
,,,,,,,,,,,,,,,,,,,,,,,,,140,1
,,,,,,,,,,,,,,,,,,,,,,,,,14g,1
,,,,,,,,,,,,,,,,,,,,,,,,,14’’,1
,,,,,,,,,,,,,,,,,,,,,,,,,150ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,160,1
,,,,,,,,,,,,,,,,,,,,,,,,,160°,1
,,,,,,,,,,,,,,,,,,,,,,,,,165f,1
,,,,,,,,,,,,,,,,,,,,,,,,,17,1
,,,,,,,,,,,,,,,,,,,,,,,,,175°c.,1
,,,,,,,,,,,,,,,,,,,,,,,,,18-20cm,1
,,,,,,,,,,,,,,,,,,,,,,,,,180,1
,,,,,,,,,,,,,,,,,,,,,,,,,180c.,1
,,,,,,,,,,,,,,,,,,,,,,,,,180c/350f.,1
,,,,,,,,,,,,,,,,,,,,,,,,,180ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,180°c,1
,,,,,,,,,,,,,,,,,,,,,,,,,184,1
,,,,,,,,,,,,,,,,,,,,,,,,,18cm,1
,,,,,,,,,,,,,,,,,,,,,,,,,190,1
,,,,,,,,,,,,,,,,,,,,,,,,,1kg,1
,,,,,,,,,,,,,,,,,,,,,,,,,1½,1
,,,,,,,,,,,,,,,,,,,,,,,,,1–2,1
,,,,,,,,,,,,,,,,,,,,,,,,,1️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,2&1/2,1
,,,,,,,,,,,,,,,,,,,,,,,,,"2,",1
,,,,,,,,,,,,,,,,,,,,,,,,,2-,1
,,,,,,,,,,,,,,,,,,,,,,,,,2-3):,1
,,,,,,,,,,,,,,,,,,,,,,,,,2-4,1
,,,,,,,,,,,,,,,,,,,,,,,,,2-ingredient,1
,,,,,,,,,,,,,,,,,,,,,,,,,2.),1
,,,,,,,,,,,,,,,,,,,,,,,,,2.4kg,1
,,,,,,,,,,,,,,,,,,,,,,,,,"20,",1
,,,,,,,,,,,,,,,,,,,,,,,,,20-25,1
,,,,,,,,,,,,,,,,,,,,,,,,,200gshredded,1
,,,,,,,,,,,,,,,,,,,,,,,,,200ºc,1
,,,,,,,,,,,,,,,,,,,,,,,,,2022,1
,,,,,,,,,,,,,,,,,,,,,,,,,2024,1
,,,,,,,,,,,,,,,,,,,,,,,,,205g,1
,,,,,,,,,,,,,,,,,,,,,,,,,205°c,1
,,,,,,,,,,,,,,,,,,,,,,,,,20cm+,1
,,,,,,,,,,,,,,,,,,,,,,,,,20g,1
,,,,,,,,,,,,,,,,,,,,,,,,,20x20,1
,,,,,,,,,,,,,,,,,,,,,,,,,210,1
,,,,,,,,,,,,,,,,,,,,,,,,,225,1
,,,,,,,,,,,,,,,,,,,,,,,,,23g,1
,,,,,,,,,,,,,,,,,,,,,,,,,240g,1
,,,,,,,,,,,,,,,,,,,,,,,,,240ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,25%,1
,,,,,,,,,,,,,,,,,,,,,,,,,25-40mins,1
,,,,,,,,,,,,,,,,,,,,,,,,,25gr,1
,,,,,,,,,,,,,,,,,,,,,,,,,25ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,26/100,1
,,,,,,,,,,,,,,,,,,,,,,,,,28,1
,,,,,,,,,,,,,,,,,,,,,,,,,28-30,1
,,,,,,,,,,,,,,,,,,,,,,,,,280g,1
,,,,,,,,,,,,,,,,,,,,,,,,,285f,1
,,,,,,,,,,,,,,,,,,,,,,,,,285g,1
,,,,,,,,,,,,,,,,,,,,,,,,,287kcal,1
,,,,,,,,,,,,,,,,,,,,,,,,,2cm,1
,,,,,,,,,,,,,,,,,,,,,,,,,2eggs,1
,,,,,,,,,,,,,,,,,,,,,,,,,2l,1
,,,,,,,,,,,,,,,,,,,,,,,,,2tbsp,1
,,,,,,,,,,,,,,,,,,,,,,,,,2️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,"3)

chicken:

3",1
,,,,,,,,,,,,,,,,,,,,,,,,,"3,000",1
,,,,,,,,,,,,,,,,,,,,,,,,,3-,1
,,,,,,,,,,,,,,,,,,,,,,,,,3-ingredient,1
,,,,,,,,,,,,,,,,,,,,,,,,,3.),1
,,,,,,,,,,,,,,,,,,,,,,,,,30-35,1
,,,,,,,,,,,,,,,,,,,,,,,,,30-second,1
,,,,,,,,,,,,,,,,,,,,,,,,,300ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,304,1
,,,,,,,,,,,,,,,,,,,,,,,,,30mins-1,1
,,,,,,,,,,,,,,,,,,,,,,,,,320g,1
,,,,,,,,,,,,,,,,,,,,,,,,,325,1
,,,,,,,,,,,,,,,,,,,,,,,,,339,1
,,,,,,,,,,,,,,,,,,,,,,,,,35,1
,,,,,,,,,,,,,,,,,,,,,,,,,35-40,1
,,,,,,,,,,,,,,,,,,,,,,,,,350f,1
,,,,,,,,,,,,,,,,,,,,,,,,,350f!,1
,,,,,,,,,,,,,,,,,,,,,,,,,350f.,1
,,,,,,,,,,,,,,,,,,,,,,,,,350°f),1
,,,,,,,,,,,,,,,,,,,,,,,,,350˚f,1
,,,,,,,,,,,,,,,,,,,,,,,,,35cl,1
,,,,,,,,,,,,,,,,,,,,,,,,,375°f,1
,,,,,,,,,,,,,,,,,,,,,,,,,38g,1
,,,,,,,,,,,,,,,,,,,,,,,,,39,1
,,,,,,,,,,,,,,,,,,,,,,,,,39),1
,,,,,,,,,,,,,,,,,,,,,,,,,3g,1
,,,,,,,,,,,,,,,,,,,,,,,,,3–4,1
,,,,,,,,,,,,,,,,,,,,,,,,,3️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,"4,",1
,,,,,,,,,,,,,,,,,,,,,,,,,4-,1
,,,,,,,,,,,,,,,,,,,,,,,,,"4-pack,",1
,,,,,,,,,,,,,,,,,,,,,,,,,4-year-old,1
,,,,,,,,,,,,,,,,,,,,,,,,,40,1
,,,,,,,,,,,,,,,,,,,,,,,,,40-50,1
,,,,,,,,,,,,,,,,,,,,,,,,,400g,1
,,,,,,,,,,,,,,,,,,,,,,,,,400ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,400°f.,1
,,,,,,,,,,,,,,,,,,,,,,,,,400˚f.,1
,,,,,,,,,,,,,,,,,,,,,,,,,425,1
,,,,,,,,,,,,,,,,,,,,,,,,,42g,1
,,,,,,,,,,,,,,,,,,,,,,,,,444,1
,,,,,,,,,,,,,,,,,,,,,,,,,45-50,1
,,,,,,,,,,,,,,,,,,,,,,,,,450ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,455,1
,,,,,,,,,,,,,,,,,,,,,,,,,45g,1
,,,,,,,,,,,,,,,,,,,,,,,,,47g,1
,,,,,,,,,,,,,,,,,,,,,,,,,48,1
,,,,,,,,,,,,,,,,,,,,,,,,,483,1
,,,,,,,,,,,,,,,,,,,,,,,,,486,1
,,,,,,,,,,,,,,,,,,,,,,,,,495,1
,,,,,,,,,,,,,,,,,,,,,,,,,4:,1
,,,,,,,,,,,,,,,,,,,,,,,,,4g,1
,,,,,,,,,,,,,,,,,,,,,,,,,4x,1
,,,,,,,,,,,,,,,,,,,,,,,,,4️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,5-,1
,,,,,,,,,,,,,,,,,,,,,,,,,50%,1
,,,,,,,,,,,,,,,,,,,,,,,,,50+,1
,,,,,,,,,,,,,,,,,,,,,,,,,50-55,1
,,,,,,,,,,,,,,,,,,,,,,,,,500ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,52g,1
,,,,,,,,,,,,,,,,,,,,,,,,,53,1
,,,,,,,,,,,,,,,,,,,,,,,,,5️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,6+,1
,,,,,,,,,,,,,,,,,,,,,,,,,6-,1
,,,,,,,,,,,,,,,,,,,,,,,,,60,1
,,,,,,,,,,,,,,,,,,,,,,,,,60-70+,1
,,,,,,,,,,,,,,,,,,,,,,,,,600ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,60ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,60oz,1
,,,,,,,,,,,,,,,,,,,,,,,,,610kcal,1
,,,,,,,,,,,,,,,,,,,,,,,,,63g,1
,,,,,,,,,,,,,,,,,,,,,,,,,650g,1
,,,,,,,,,,,,,,,,,,,,,,,,,68g,1
,,,,,,,,,,,,,,,,,,,,,,,,,6x,1
,,,,,,,,,,,,,,,,,,,,,,,,,6½x2¾x½,1
,,,,,,,,,,,,,,,,,,,,,,,,,6️⃣mix,1
,,,,,,,,,,,,,,,,,,,,,,,,,7-,1
,,,,,,,,,,,,,,,,,,,,,,,,,7-10,1
,,,,,,,,,,,,,,,,,,,,,,,,,7-8,1
,,,,,,,,,,,,,,,,,,,,,,,,,7-ingredient,1
,,,,,,,,,,,,,,,,,,,,,,,,,70%off!,1
,,,,,,,,,,,,,,,,,,,,,,,,,75,1
,,,,,,,,,,,,,,,,,,,,,,,,,75ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,7:,1
,,,,,,,,,,,,,,,,,,,,,,,,,7–10,1
,,,,,,,,,,,,,,,,,,,,,,,,,7️⃣,1
,,,,,,,,,,,,,,,,,,,,,,,,,8*8,1
,,,,,,,,,,,,,,,,,,,,,,,,,8-,1
,,,,,,,,,,,,,,,,,,,,,,,,,80,1
,,,,,,,,,,,,,,,,,,,,,,,,,800g,1
,,,,,,,,,,,,,,,,,,,,,,,,,80g,1
,,,,,,,,,,,,,,,,,,,,,,,,,85,1
,,,,,,,,,,,,,,,,,,,,,,,,,85-90f,1
,,,,,,,,,,,,,,,,,,,,,,,,,88-90f,1
,,,,,,,,,,,,,,,,,,,,,,,,,88/100:,1
,,,,,,,,,,,,,,,,,,,,,,,,,89/100:,1
,,,,,,,,,,,,,,,,,,,,,,,,,8oz,1
,,,,,,,,,,,,,,,,,,,,,,,,,9).,1
,,,,,,,,,,,,,,,,,,,,,,,,,9-,1
,,,,,,,,,,,,,,,,,,,,,,,,,9-5,1
,,,,,,,,,,,,,,,,,,,,,,,,,90g,1
,,,,,,,,,,,,,,,,,,,,,,,,,95g,1
,,,,,,,,,,,,,,,,,,,,,,,,,99/100:,1
,,,,,,,,,,,,,,,,,,,,,,,,,9x13-inch,1
,,,,,,,,,,,,,,,,,,,,,,,,,9x14-inch,1
,,,,,,,,,,,,,,,,,,,,,,,,,9×13,1
,,,,,,,,,,,,,,,,,,,,,,,,,<find,1
,,,,,,,,,,,,,,,,,,,,,,,,,>>>,1
,,,,,,,,,,,,,,,,,,,,,,,,,@6ix9ine,1
,,,,,,,,,,,,,,,,,,,,,,,,,@_raizel___,1
,,,,,,,,,,,,,,,,,,,,,,,,,@ajinomoto,1
,,,,,,,,,,,,,,,,,,,,,,,,,@ajinomotoph,1
,,,,,,,,,,,,,,,,,,,,,,,,,@anna,1
,,,,,,,,,,,,,,,,,,,,,,,,,@apoutchou,1
,,,,,,,,,,,,,,,,,,,,,,,,,@betty,1
,,,,,,,,,,,,,,,,,,,,,,,,,@brightland,1
,,,,,,,,,,,,,,,,,,,,,,,,,@campbell’s,1
,,,,,,,,,,,,,,,,,,,,,,,,,@canadadry,1
,,,,,,,,,,,,,,,,,,,,,,,,,@carbonefinefood,1
,,,,,,,,,,,,,,,,,,,,,,,,,@carnation,1
,,,,,,,,,,,,,,,,,,,,,,,,,@chacekitchen,1
,,,,,,,,,,,,,,,,,,,,,,,,,@chosen,1
,,,,,,,,,,,,,,,,,,,,,,,,,@claudia,1
,,,,,,,,,,,,,,,,,,,,,,,,,@colemanusa,1
,,,,,,,,,,,,,,,,,,,,,,,,,@danahassonn,1
,,,,,,,,,,,,,,,,,,,,,,,,,@dapurumi_channel,1
,,,,,,,,,,,,,,,,,,,,,,,,,@delmontemx,1
,,,,,,,,,,,,,,,,,,,,,,,,,@diego,1
,,,,,,,,,,,,,,,,,,,,,,,,,@doritos,1
,,,,,,,,,,,,,,,,,,,,,,,,,@eggland’s,1
,,,,,,,,,,,,,,,,,,,,,,,,,@fage,1
,,,,,,,,,,,,,,,,,,,,,,,,,@fitwaffle,1
,,,,,,,,,,,,,,,,,,,,,,,,,@google's,1
,,,,,,,,,,,,,,,,,,,,,,,,,@gordon,1
,,,,,,,,,,,,,,,,,,,,,,,,,@graza,1
,,,,,,,,,,,,,,,,,,,,,,,,,@green,1
,,,,,,,,,,,,,,,,,,,,,,,,,@hellmann’s,1
,,,,,,,,,,,,,,,,,,,,,,,,,@herdez,1
,,,,,,,,,,,,,,,,,,,,,,,,,@hp,1
,,,,,,,,,,,,,,,,,,,,,,,,,@i_like_aeroplane_jelly,1
,,,,,,,,,,,,,,,,,,,,,,,,,@inoxtag,1
,,,,,,,,,,,,,,,,,,,,,,,,,"@kayoukitchen,",1
,,,,,,,,,,,,,,,,,,,,,,,,,@kroger,1
,,,,,,,,,,,,,,,,,,,,,,,,,@lexus,1
,,,,,,,,,,,,,,,,,,,,,,,,,@logan,1
,,,,,,,,,,,,,,,,,,,,,,,,,@lorealpro_education_middleeast,1
,,,,,,,,,,,,,,,,,,,,,,,,,@louiseemrg,1
,,,,,,,,,,,,,,,,,,,,,,,,,@low,1
,,,,,,,,,,,,,,,,,,,,,,,,,@l’oréal,1
,,,,,,,,,,,,,,,,,,,,,,,,,@mealsthatmatter,1
,,,,,,,,,,,,,,,,,,,,,,,,,@meliz,1
,,,,,,,,,,,,,,,,,,,,,,,,,@mimo,1
,,,,,,,,,,,,,,,,,,,,,,,,,@moribyan:,1
,,,,,,,,,,,,,,,,,,,,,,,,,@moussy,1
,,,,,,,,,,,,,,,,,,,,,,,,,@mum_made_yum.,1
,,,,,,,,,,,,,,,,,,,,,,,,,@musclefooduk,1
,,,,,,,,,,,,,,,,,,,,,,,,,@nature,1
